TIMEPOINT ,NUMBER OF ACTIVE NODES ,NUMBER OF CYCLES IN THE NUCLEUS,THIS COLUMN  AND THE FOLLOWING CONTAIN THE CYCLES
1,10,8,5,12,53,55,60,62,64,70
1,10,8,5,13,53,55,60,64,69,70
1,10,9,5,53,55,60,61,62,64,69,70
1,10,6,6,10,53,55,65,70
1,10,7,6,53,55,62,65,69,70
1,10,7,7,8,10,53,55,65,70
1,10,8,7,8,53,55,62,65,69,70
1,10,7,7,9,53,55,63,65,70
1,10,8,7,10,53,55,61,63,65,70
1,10,7,7,11,53,55,63,65,70
1,10,8,7,12,53,55,62,63,65,70
1,10,8,7,13,53,55,63,65,69,70
1,10,9,7,53,55,61,62,63,65,69,70
1,10,8,8,10,53,55,60,64,65,70
1,10,9,8,53,55,60,62,64,65,69,70
1,10,8,9,53,55,60,63,64,65,70
1,10,9,10,53,55,60,61,63,64,65,70
1,10,8,11,53,55,60,63,64,65,70
1,10,9,12,53,55,60,62,63,64,65,70
1,10,9,13,53,55,60,63,64,65,69,70
1,10,10,53,55,60,61,62,63,64,65,69,70
806,19,9,1,7,9,16,43,49,58,66,67
806,19,10,1,7,9,16,43,53,58,66,67,72
806,19,9,1,7,9,16,44,48,58,66,67
806,19,10,1,7,9,16,44,49,54,58,66,67
806,19,9,1,7,9,16,44,50,58,66,67
806,19,10,1,7,9,16,44,51,53,58,66,67
806,19,10,1,7,9,16,44,52,58,66,67,72
806,19,11,1,7,9,16,44,53,54,58,66,67,72
806,19,9,1,7,9,16,45,49,58,66,67
806,19,10,1,7,9,16,45,53,58,66,67,72
806,19,10,1,7,9,16,46,49,55,58,66,67
806,19,11,1,7,9,16,46,53,55,58,66,67,72
806,19,10,1,7,9,16,47,49,56,58,66,67
806,19,11,1,7,9,16,47,53,56,58,66,67,72
806,19,10,1,7,9,16,48,55,56,58,66,67
806,19,11,1,7,9,16,49,54,55,56,58,66,67
806,19,10,1,7,9,16,50,55,56,58,66,67
806,19,11,1,7,9,16,51,53,55,56,58,66,67
806,19,11,1,7,9,16,52,55,56,58,66,67,72
806,19,12,1,7,9,16,53,54,55,56,58,66,67,72
806,19,9,1,7,9,17,41,43,49,66,67
806,19,10,1,7,9,17,41,43,53,66,67,72
806,19,9,1,7,9,17,41,44,48,66,67
806,19,10,1,7,9,17,41,44,49,54,66,67
806,19,9,1,7,9,17,41,44,50,66,67
806,19,10,1,7,9,17,41,44,51,53,66,67
806,19,10,1,7,9,17,41,44,52,66,67,72
806,19,11,1,7,9,17,41,44,53,54,66,67,72
806,19,9,1,7,9,17,41,45,49,66,67
806,19,10,1,7,9,17,41,45,53,66,67,72
806,19,10,1,7,9,17,41,46,49,55,66,67
806,19,11,1,7,9,17,41,46,53,55,66,67,72
806,19,10,1,7,9,17,41,47,49,56,66,67
806,19,11,1,7,9,17,41,47,53,56,66,67,72
806,19,10,1,7,9,17,41,48,55,56,66,67
806,19,11,1,7,9,17,41,49,54,55,56,66,67
806,19,10,1,7,9,17,41,50,55,56,66,67
806,19,11,1,7,9,17,41,51,53,55,56,66,67
806,19,11,1,7,9,17,41,52,55,56,66,67,72
806,19,12,1,7,9,17,41,53,54,55,56,66,67,72
806,19,10,1,7,9,17,42,47,49,58,66,67
806,19,11,1,7,9,17,42,47,53,58,66,67,72
806,19,10,1,7,9,17,42,48,55,58,66,67
806,19,11,1,7,9,17,42,49,54,55,58,66,67
806,19,10,1,7,9,17,42,50,55,58,66,67
806,19,11,1,7,9,17,42,51,53,55,58,66,67
806,19,11,1,7,9,17,42,52,55,58,66,67,72
806,19,12,1,7,9,17,42,53,54,55,58,66,67,72
806,19,10,1,7,9,17,43,49,57,58,66,67
806,19,11,1,7,9,17,43,53,57,58,66,67,72
806,19,10,1,7,9,17,44,48,57,58,66,67
806,19,11,1,7,9,17,44,49,54,57,58,66,67
806,19,10,1,7,9,17,44,50,57,58,66,67
806,19,11,1,7,9,17,44,51,53,57,58,66,67
806,19,11,1,7,9,17,44,52,57,58,66,67,72
806,19,12,1,7,9,17,44,53,54,57,58,66,67,72
806,19,10,1,7,9,17,45,49,57,58,66,67
806,19,11,1,7,9,17,45,53,57,58,66,67,72
806,19,11,1,7,9,17,46,49,55,57,58,66,67
806,19,12,1,7,9,17,46,53,55,57,58,66,67,72
806,19,11,1,7,9,17,47,49,56,57,58,66,67
806,19,12,1,7,9,17,47,53,56,57,58,66,67,72
806,19,11,1,7,9,17,48,55,56,57,58,66,67
806,19,12,1,7,9,17,49,54,55,56,57,58,66,67
806,19,11,1,7,9,17,50,55,56,57,58,66,67
806,19,12,1,7,9,17,51,53,55,56,57,58,66,67
806,19,12,1,7,9,17,52,55,56,57,58,66,67,72
806,19,13,1,7,9,17,53,54,55,56,57,58,66,67,72
806,19,9,1,7,9,18,43,49,58,66,67
806,19,10,1,7,9,18,43,53,58,66,67,72
806,19,9,1,7,9,18,44,48,58,66,67
806,19,10,1,7,9,18,44,49,54,58,66,67
806,19,9,1,7,9,18,44,50,58,66,67
806,19,10,1,7,9,18,44,51,53,58,66,67
806,19,10,1,7,9,18,44,52,58,66,67,72
806,19,11,1,7,9,18,44,53,54,58,66,67,72
806,19,9,1,7,9,18,45,49,58,66,67
806,19,10,1,7,9,18,45,53,58,66,67,72
806,19,10,1,7,9,18,46,49,55,58,66,67
806,19,11,1,7,9,18,46,53,55,58,66,67,72
806,19,10,1,7,9,18,47,49,56,58,66,67
806,19,11,1,7,9,18,47,53,56,58,66,67,72
806,19,10,1,7,9,18,48,55,56,58,66,67
806,19,11,1,7,9,18,49,54,55,56,58,66,67
806,19,10,1,7,9,18,50,55,56,58,66,67
806,19,11,1,7,9,18,51,53,55,56,58,66,67
806,19,11,1,7,9,18,52,55,56,58,66,67,72
806,19,12,1,7,9,18,53,54,55,56,58,66,67,72
806,19,10,1,7,9,27,43,49,58,66,67,68
806,19,11,1,7,9,27,43,53,58,66,67,68,72
806,19,10,1,7,9,27,44,48,58,66,67,68
806,19,11,1,7,9,27,44,49,54,58,66,67,68
806,19,10,1,7,9,27,44,50,58,66,67,68
806,19,11,1,7,9,27,44,51,53,58,66,67,68
806,19,11,1,7,9,27,44,52,58,66,67,68,72
806,19,12,1,7,9,27,44,53,54,58,66,67,68,72
806,19,10,1,7,9,27,45,49,58,66,67,68
806,19,11,1,7,9,27,45,53,58,66,67,68,72
806,19,11,1,7,9,27,46,49,55,58,66,67,68
806,19,12,1,7,9,27,46,53,55,58,66,67,68,72
806,19,11,1,7,9,27,47,49,56,58,66,67,68
806,19,12,1,7,9,27,47,53,56,58,66,67,68,72
806,19,11,1,7,9,27,48,55,56,58,66,67,68
806,19,12,1,7,9,27,49,54,55,56,58,66,67,68
806,19,11,1,7,9,27,50,55,56,58,66,67,68
806,19,12,1,7,9,27,51,53,55,56,58,66,67,68
806,19,12,1,7,9,27,52,55,56,58,66,67,68,72
806,19,13,1,7,9,27,53,54,55,56,58,66,67,68,72
806,19,10,1,7,9,36,43,49,58,59,66,67
806,19,11,1,7,9,36,43,53,58,59,66,67,72
806,19,10,1,7,9,36,44,48,58,59,66,67
806,19,11,1,7,9,36,44,49,54,58,59,66,67
806,19,10,1,7,9,36,44,50,58,59,66,67
806,19,11,1,7,9,36,44,51,53,58,59,66,67
806,19,11,1,7,9,36,44,52,58,59,66,67,72
806,19,12,1,7,9,36,44,53,54,58,59,66,67,72
806,19,10,1,7,9,36,45,49,58,59,66,67
806,19,11,1,7,9,36,45,53,58,59,66,67,72
806,19,11,1,7,9,36,46,49,55,58,59,66,67
806,19,12,1,7,9,36,46,53,55,58,59,66,67,72
806,19,11,1,7,9,36,47,49,56,58,59,66,67
806,19,12,1,7,9,36,47,53,56,58,59,66,67,72
806,19,11,1,7,9,36,48,55,56,58,59,66,67
806,19,12,1,7,9,36,49,54,55,56,58,59,66,67
806,19,11,1,7,9,36,50,55,56,58,59,66,67
806,19,12,1,7,9,36,51,53,55,56,58,59,66,67
806,19,12,1,7,9,36,52,55,56,58,59,66,67,72
806,19,13,1,7,9,36,53,54,55,56,58,59,66,67,72
806,19,10,1,7,9,41,43,49,59,66,67,68
806,19,11,1,7,9,41,43,53,59,66,67,68,72
806,19,10,1,7,9,41,44,48,59,66,67,68
806,19,11,1,7,9,41,44,49,54,59,66,67,68
806,19,10,1,7,9,41,44,50,59,66,67,68
806,19,11,1,7,9,41,44,51,53,59,66,67,68
806,19,11,1,7,9,41,44,52,59,66,67,68,72
806,19,12,1,7,9,41,44,53,54,59,66,67,68,72
806,19,10,1,7,9,41,45,49,59,66,67,68
806,19,11,1,7,9,41,45,53,59,66,67,68,72
806,19,11,1,7,9,41,46,49,55,59,66,67,68
806,19,12,1,7,9,41,46,53,55,59,66,67,68,72
806,19,11,1,7,9,41,47,49,56,59,66,67,68
806,19,12,1,7,9,41,47,53,56,59,66,67,68,72
806,19,11,1,7,9,41,48,55,56,59,66,67,68
806,19,12,1,7,9,41,49,54,55,56,59,66,67,68
806,19,11,1,7,9,41,50,55,56,59,66,67,68
806,19,12,1,7,9,41,51,53,55,56,59,66,67,68
806,19,12,1,7,9,41,52,55,56,59,66,67,68,72
806,19,13,1,7,9,41,53,54,55,56,59,66,67,68,72
806,19,11,1,7,9,42,47,49,58,59,66,67,68
806,19,12,1,7,9,42,47,53,58,59,66,67,68,72
806,19,11,1,7,9,42,48,55,58,59,66,67,68
806,19,12,1,7,9,42,49,54,55,58,59,66,67,68
806,19,11,1,7,9,42,50,55,58,59,66,67,68
806,19,12,1,7,9,42,51,53,55,58,59,66,67,68
806,19,12,1,7,9,42,52,55,58,59,66,67,68,72
806,19,13,1,7,9,42,53,54,55,58,59,66,67,68,72
806,19,11,1,7,9,43,49,57,58,59,66,67,68
806,19,12,1,7,9,43,53,57,58,59,66,67,68,72
806,19,11,1,7,9,44,48,57,58,59,66,67,68
806,19,12,1,7,9,44,49,54,57,58,59,66,67,68
806,19,11,1,7,9,44,50,57,58,59,66,67,68
806,19,12,1,7,9,44,51,53,57,58,59,66,67,68
806,19,12,1,7,9,44,52,57,58,59,66,67,68,72
806,19,13,1,7,9,44,53,54,57,58,59,66,67,68,72
806,19,11,1,7,9,45,49,57,58,59,66,67,68
806,19,12,1,7,9,45,53,57,58,59,66,67,68,72
806,19,12,1,7,9,46,49,55,57,58,59,66,67,68
806,19,13,1,7,9,46,53,55,57,58,59,66,67,68,72
806,19,12,1,7,9,47,49,56,57,58,59,66,67,68
806,19,13,1,7,9,47,53,56,57,58,59,66,67,68,72
806,19,12,1,7,9,48,55,56,57,58,59,66,67,68
806,19,13,1,7,9,49,54,55,56,57,58,59,66,67,68
806,19,12,1,7,9,50,55,56,57,58,59,66,67,68
806,19,13,1,7,9,51,53,55,56,57,58,59,66,67,68
806,19,13,1,7,9,52,55,56,57,58,59,66,67,68,72
806,19,14,1,7,9,53,54,55,56,57,58,59,66,67,68,72
806,19,10,1,7,10,16,43,49,58,61,66,67
806,19,11,1,7,10,16,43,53,58,61,66,67,72
806,19,10,1,7,10,16,44,48,58,61,66,67
806,19,11,1,7,10,16,44,49,54,58,61,66,67
806,19,10,1,7,10,16,44,50,58,61,66,67
806,19,11,1,7,10,16,44,51,53,58,61,66,67
806,19,11,1,7,10,16,44,52,58,61,66,67,72
806,19,12,1,7,10,16,44,53,54,58,61,66,67,72
806,19,10,1,7,10,16,45,49,58,61,66,67
806,19,11,1,7,10,16,45,53,58,61,66,67,72
806,19,11,1,7,10,16,46,49,55,58,61,66,67
806,19,12,1,7,10,16,46,53,55,58,61,66,67,72
806,19,11,1,7,10,16,47,49,56,58,61,66,67
806,19,12,1,7,10,16,47,53,56,58,61,66,67,72
806,19,11,1,7,10,16,48,55,56,58,61,66,67
806,19,12,1,7,10,16,49,54,55,56,58,61,66,67
806,19,11,1,7,10,16,50,55,56,58,61,66,67
806,19,12,1,7,10,16,51,53,55,56,58,61,66,67
806,19,12,1,7,10,16,52,55,56,58,61,66,67,72
806,19,13,1,7,10,16,53,54,55,56,58,61,66,67,72
806,19,10,1,7,10,17,41,43,49,61,66,67
806,19,11,1,7,10,17,41,43,53,61,66,67,72
806,19,10,1,7,10,17,41,44,48,61,66,67
806,19,11,1,7,10,17,41,44,49,54,61,66,67
806,19,10,1,7,10,17,41,44,50,61,66,67
806,19,11,1,7,10,17,41,44,51,53,61,66,67
806,19,11,1,7,10,17,41,44,52,61,66,67,72
806,19,12,1,7,10,17,41,44,53,54,61,66,67,72
806,19,10,1,7,10,17,41,45,49,61,66,67
806,19,11,1,7,10,17,41,45,53,61,66,67,72
806,19,11,1,7,10,17,41,46,49,55,61,66,67
806,19,12,1,7,10,17,41,46,53,55,61,66,67,72
806,19,11,1,7,10,17,41,47,49,56,61,66,67
806,19,12,1,7,10,17,41,47,53,56,61,66,67,72
806,19,11,1,7,10,17,41,48,55,56,61,66,67
806,19,12,1,7,10,17,41,49,54,55,56,61,66,67
806,19,11,1,7,10,17,41,50,55,56,61,66,67
806,19,12,1,7,10,17,41,51,53,55,56,61,66,67
806,19,12,1,7,10,17,41,52,55,56,61,66,67,72
806,19,13,1,7,10,17,41,53,54,55,56,61,66,67,72
806,19,11,1,7,10,17,42,47,49,58,61,66,67
806,19,12,1,7,10,17,42,47,53,58,61,66,67,72
806,19,11,1,7,10,17,42,48,55,58,61,66,67
806,19,12,1,7,10,17,42,49,54,55,58,61,66,67
806,19,11,1,7,10,17,42,50,55,58,61,66,67
806,19,12,1,7,10,17,42,51,53,55,58,61,66,67
806,19,12,1,7,10,17,42,52,55,58,61,66,67,72
806,19,13,1,7,10,17,42,53,54,55,58,61,66,67,72
806,19,11,1,7,10,17,43,49,57,58,61,66,67
806,19,12,1,7,10,17,43,53,57,58,61,66,67,72
806,19,11,1,7,10,17,44,48,57,58,61,66,67
806,19,12,1,7,10,17,44,49,54,57,58,61,66,67
806,19,11,1,7,10,17,44,50,57,58,61,66,67
806,19,12,1,7,10,17,44,51,53,57,58,61,66,67
806,19,12,1,7,10,17,44,52,57,58,61,66,67,72
806,19,13,1,7,10,17,44,53,54,57,58,61,66,67,72
806,19,11,1,7,10,17,45,49,57,58,61,66,67
806,19,12,1,7,10,17,45,53,57,58,61,66,67,72
806,19,12,1,7,10,17,46,49,55,57,58,61,66,67
806,19,13,1,7,10,17,46,53,55,57,58,61,66,67,72
806,19,12,1,7,10,17,47,49,56,57,58,61,66,67
806,19,13,1,7,10,17,47,53,56,57,58,61,66,67,72
806,19,12,1,7,10,17,48,55,56,57,58,61,66,67
806,19,13,1,7,10,17,49,54,55,56,57,58,61,66,67
806,19,12,1,7,10,17,50,55,56,57,58,61,66,67
806,19,13,1,7,10,17,51,53,55,56,57,58,61,66,67
806,19,13,1,7,10,17,52,55,56,57,58,61,66,67,72
806,19,14,1,7,10,17,53,54,55,56,57,58,61,66,67,72
806,19,10,1,7,10,18,43,49,58,61,66,67
806,19,11,1,7,10,18,43,53,58,61,66,67,72
806,19,10,1,7,10,18,44,48,58,61,66,67
806,19,11,1,7,10,18,44,49,54,58,61,66,67
806,19,10,1,7,10,18,44,50,58,61,66,67
806,19,11,1,7,10,18,44,51,53,58,61,66,67
806,19,11,1,7,10,18,44,52,58,61,66,67,72
806,19,12,1,7,10,18,44,53,54,58,61,66,67,72
806,19,10,1,7,10,18,45,49,58,61,66,67
806,19,11,1,7,10,18,45,53,58,61,66,67,72
806,19,11,1,7,10,18,46,49,55,58,61,66,67
806,19,12,1,7,10,18,46,53,55,58,61,66,67,72
806,19,11,1,7,10,18,47,49,56,58,61,66,67
806,19,12,1,7,10,18,47,53,56,58,61,66,67,72
806,19,11,1,7,10,18,48,55,56,58,61,66,67
806,19,12,1,7,10,18,49,54,55,56,58,61,66,67
806,19,11,1,7,10,18,50,55,56,58,61,66,67
806,19,12,1,7,10,18,51,53,55,56,58,61,66,67
806,19,12,1,7,10,18,52,55,56,58,61,66,67,72
806,19,13,1,7,10,18,53,54,55,56,58,61,66,67,72
806,19,11,1,7,10,27,43,49,58,61,66,67,68
806,19,12,1,7,10,27,43,53,58,61,66,67,68,72
806,19,11,1,7,10,27,44,48,58,61,66,67,68
806,19,12,1,7,10,27,44,49,54,58,61,66,67,68
806,19,11,1,7,10,27,44,50,58,61,66,67,68
806,19,12,1,7,10,27,44,51,53,58,61,66,67,68
806,19,12,1,7,10,27,44,52,58,61,66,67,68,72
806,19,13,1,7,10,27,44,53,54,58,61,66,67,68,72
806,19,11,1,7,10,27,45,49,58,61,66,67,68
806,19,12,1,7,10,27,45,53,58,61,66,67,68,72
806,19,12,1,7,10,27,46,49,55,58,61,66,67,68
806,19,13,1,7,10,27,46,53,55,58,61,66,67,68,72
806,19,12,1,7,10,27,47,49,56,58,61,66,67,68
806,19,13,1,7,10,27,47,53,56,58,61,66,67,68,72
806,19,12,1,7,10,27,48,55,56,58,61,66,67,68
806,19,13,1,7,10,27,49,54,55,56,58,61,66,67,68
806,19,12,1,7,10,27,50,55,56,58,61,66,67,68
806,19,13,1,7,10,27,51,53,55,56,58,61,66,67,68
806,19,13,1,7,10,27,52,55,56,58,61,66,67,68,72
806,19,14,1,7,10,27,53,54,55,56,58,61,66,67,68,72
806,19,11,1,7,10,36,43,49,58,59,61,66,67
806,19,12,1,7,10,36,43,53,58,59,61,66,67,72
806,19,11,1,7,10,36,44,48,58,59,61,66,67
806,19,12,1,7,10,36,44,49,54,58,59,61,66,67
806,19,11,1,7,10,36,44,50,58,59,61,66,67
806,19,12,1,7,10,36,44,51,53,58,59,61,66,67
806,19,12,1,7,10,36,44,52,58,59,61,66,67,72
806,19,13,1,7,10,36,44,53,54,58,59,61,66,67,72
806,19,11,1,7,10,36,45,49,58,59,61,66,67
806,19,12,1,7,10,36,45,53,58,59,61,66,67,72
806,19,12,1,7,10,36,46,49,55,58,59,61,66,67
806,19,13,1,7,10,36,46,53,55,58,59,61,66,67,72
806,19,12,1,7,10,36,47,49,56,58,59,61,66,67
806,19,13,1,7,10,36,47,53,56,58,59,61,66,67,72
806,19,12,1,7,10,36,48,55,56,58,59,61,66,67
806,19,13,1,7,10,36,49,54,55,56,58,59,61,66,67
806,19,12,1,7,10,36,50,55,56,58,59,61,66,67
806,19,13,1,7,10,36,51,53,55,56,58,59,61,66,67
806,19,13,1,7,10,36,52,55,56,58,59,61,66,67,72
806,19,14,1,7,10,36,53,54,55,56,58,59,61,66,67,72
806,19,11,1,7,10,41,43,49,59,61,66,67,68
806,19,12,1,7,10,41,43,53,59,61,66,67,68,72
806,19,11,1,7,10,41,44,48,59,61,66,67,68
806,19,12,1,7,10,41,44,49,54,59,61,66,67,68
806,19,11,1,7,10,41,44,50,59,61,66,67,68
806,19,12,1,7,10,41,44,51,53,59,61,66,67,68
806,19,12,1,7,10,41,44,52,59,61,66,67,68,72
806,19,13,1,7,10,41,44,53,54,59,61,66,67,68,72
806,19,11,1,7,10,41,45,49,59,61,66,67,68
806,19,12,1,7,10,41,45,53,59,61,66,67,68,72
806,19,12,1,7,10,41,46,49,55,59,61,66,67,68
806,19,13,1,7,10,41,46,53,55,59,61,66,67,68,72
806,19,12,1,7,10,41,47,49,56,59,61,66,67,68
806,19,13,1,7,10,41,47,53,56,59,61,66,67,68,72
806,19,12,1,7,10,41,48,55,56,59,61,66,67,68
806,19,13,1,7,10,41,49,54,55,56,59,61,66,67,68
806,19,12,1,7,10,41,50,55,56,59,61,66,67,68
806,19,13,1,7,10,41,51,53,55,56,59,61,66,67,68
806,19,13,1,7,10,41,52,55,56,59,61,66,67,68,72
806,19,14,1,7,10,41,53,54,55,56,59,61,66,67,68,72
806,19,12,1,7,10,42,47,49,58,59,61,66,67,68
806,19,13,1,7,10,42,47,53,58,59,61,66,67,68,72
806,19,12,1,7,10,42,48,55,58,59,61,66,67,68
806,19,13,1,7,10,42,49,54,55,58,59,61,66,67,68
806,19,12,1,7,10,42,50,55,58,59,61,66,67,68
806,19,13,1,7,10,42,51,53,55,58,59,61,66,67,68
806,19,13,1,7,10,42,52,55,58,59,61,66,67,68,72
806,19,14,1,7,10,42,53,54,55,58,59,61,66,67,68,72
806,19,12,1,7,10,43,49,57,58,59,61,66,67,68
806,19,13,1,7,10,43,53,57,58,59,61,66,67,68,72
806,19,12,1,7,10,44,48,57,58,59,61,66,67,68
806,19,13,1,7,10,44,49,54,57,58,59,61,66,67,68
806,19,12,1,7,10,44,50,57,58,59,61,66,67,68
806,19,13,1,7,10,44,51,53,57,58,59,61,66,67,68
806,19,13,1,7,10,44,52,57,58,59,61,66,67,68,72
806,19,14,1,7,10,44,53,54,57,58,59,61,66,67,68,72
806,19,12,1,7,10,45,49,57,58,59,61,66,67,68
806,19,13,1,7,10,45,53,57,58,59,61,66,67,68,72
806,19,13,1,7,10,46,49,55,57,58,59,61,66,67,68
806,19,14,1,7,10,46,53,55,57,58,59,61,66,67,68,72
806,19,13,1,7,10,47,49,56,57,58,59,61,66,67,68
806,19,14,1,7,10,47,53,56,57,58,59,61,66,67,68,72
806,19,13,1,7,10,48,55,56,57,58,59,61,66,67,68
806,19,14,1,7,10,49,54,55,56,57,58,59,61,66,67,68
806,19,13,1,7,10,50,55,56,57,58,59,61,66,67,68
806,19,14,1,7,10,51,53,55,56,57,58,59,61,66,67,68
806,19,14,1,7,10,52,55,56,57,58,59,61,66,67,68,72
806,19,15,1,7,10,53,54,55,56,57,58,59,61,66,67,68,72
806,19,9,1,7,11,16,43,49,58,66,67
806,19,10,1,7,11,16,43,53,58,66,67,72
806,19,9,1,7,11,16,44,48,58,66,67
806,19,10,1,7,11,16,44,49,54,58,66,67
806,19,9,1,7,11,16,44,50,58,66,67
806,19,10,1,7,11,16,44,51,53,58,66,67
806,19,10,1,7,11,16,44,52,58,66,67,72
806,19,11,1,7,11,16,44,53,54,58,66,67,72
806,19,9,1,7,11,16,45,49,58,66,67
806,19,10,1,7,11,16,45,53,58,66,67,72
806,19,10,1,7,11,16,46,49,55,58,66,67
806,19,11,1,7,11,16,46,53,55,58,66,67,72
806,19,10,1,7,11,16,47,49,56,58,66,67
806,19,11,1,7,11,16,47,53,56,58,66,67,72
806,19,10,1,7,11,16,48,55,56,58,66,67
806,19,11,1,7,11,16,49,54,55,56,58,66,67
806,19,10,1,7,11,16,50,55,56,58,66,67
806,19,11,1,7,11,16,51,53,55,56,58,66,67
806,19,11,1,7,11,16,52,55,56,58,66,67,72
806,19,12,1,7,11,16,53,54,55,56,58,66,67,72
806,19,9,1,7,11,17,41,43,49,66,67
806,19,10,1,7,11,17,41,43,53,66,67,72
806,19,9,1,7,11,17,41,44,48,66,67
806,19,10,1,7,11,17,41,44,49,54,66,67
806,19,9,1,7,11,17,41,44,50,66,67
806,19,10,1,7,11,17,41,44,51,53,66,67
806,19,10,1,7,11,17,41,44,52,66,67,72
806,19,11,1,7,11,17,41,44,53,54,66,67,72
806,19,9,1,7,11,17,41,45,49,66,67
806,19,10,1,7,11,17,41,45,53,66,67,72
806,19,10,1,7,11,17,41,46,49,55,66,67
806,19,11,1,7,11,17,41,46,53,55,66,67,72
806,19,10,1,7,11,17,41,47,49,56,66,67
806,19,11,1,7,11,17,41,47,53,56,66,67,72
806,19,10,1,7,11,17,41,48,55,56,66,67
806,19,11,1,7,11,17,41,49,54,55,56,66,67
806,19,10,1,7,11,17,41,50,55,56,66,67
806,19,11,1,7,11,17,41,51,53,55,56,66,67
806,19,11,1,7,11,17,41,52,55,56,66,67,72
806,19,12,1,7,11,17,41,53,54,55,56,66,67,72
806,19,10,1,7,11,17,42,47,49,58,66,67
806,19,11,1,7,11,17,42,47,53,58,66,67,72
806,19,10,1,7,11,17,42,48,55,58,66,67
806,19,11,1,7,11,17,42,49,54,55,58,66,67
806,19,10,1,7,11,17,42,50,55,58,66,67
806,19,11,1,7,11,17,42,51,53,55,58,66,67
806,19,11,1,7,11,17,42,52,55,58,66,67,72
806,19,12,1,7,11,17,42,53,54,55,58,66,67,72
806,19,10,1,7,11,17,43,49,57,58,66,67
806,19,11,1,7,11,17,43,53,57,58,66,67,72
806,19,10,1,7,11,17,44,48,57,58,66,67
806,19,11,1,7,11,17,44,49,54,57,58,66,67
806,19,10,1,7,11,17,44,50,57,58,66,67
806,19,11,1,7,11,17,44,51,53,57,58,66,67
806,19,11,1,7,11,17,44,52,57,58,66,67,72
806,19,12,1,7,11,17,44,53,54,57,58,66,67,72
806,19,10,1,7,11,17,45,49,57,58,66,67
806,19,11,1,7,11,17,45,53,57,58,66,67,72
806,19,11,1,7,11,17,46,49,55,57,58,66,67
806,19,12,1,7,11,17,46,53,55,57,58,66,67,72
806,19,11,1,7,11,17,47,49,56,57,58,66,67
806,19,12,1,7,11,17,47,53,56,57,58,66,67,72
806,19,11,1,7,11,17,48,55,56,57,58,66,67
806,19,12,1,7,11,17,49,54,55,56,57,58,66,67
806,19,11,1,7,11,17,50,55,56,57,58,66,67
806,19,12,1,7,11,17,51,53,55,56,57,58,66,67
806,19,12,1,7,11,17,52,55,56,57,58,66,67,72
806,19,13,1,7,11,17,53,54,55,56,57,58,66,67,72
806,19,9,1,7,11,18,43,49,58,66,67
806,19,10,1,7,11,18,43,53,58,66,67,72
806,19,9,1,7,11,18,44,48,58,66,67
